model,type,iters,height,width,avg-disp-diff,avg-inf-time
crestereo_combined_iter10_240x320.onnx,combined,10,240,320,29.165056228637695,0.16744897959202087
crestereo_combined_iter10_320x480.onnx,combined,10,320,480,24.360706329345703,0.2643061224489244
crestereo_combined_iter10_360x640.onnx,combined,10,360,640,19.531513214111328,0.38265306122441556
crestereo_combined_iter10_480x640.onnx,combined,10,480,640,19.50359535217285,0.4849591836735977
crestereo_combined_iter10_720x1280.onnx,combined,10,720,1280,0.2585696280002594,1.422591836735406
crestereo_combined_iter20_240x320.onnx,combined,20,240,320,29.158506393432617,0.3092040816330581
crestereo_combined_iter20_320x480.onnx,combined,20,320,480,24.32955551147461,0.498448979591892
crestereo_combined_iter20_360x640.onnx,combined,20,360,640,19.521053314208984,0.7047551020410278
crestereo_combined_iter20_480x640.onnx,combined,20,480,640,19.49201202392578,0.8794081632651648
crestereo_combined_iter20_720x1280.onnx,combined,20,720,1280,0.006725948769599199,2.6036326530614002
crestereo_combined_iter2_240x320.onnx,combined,2,240,320,29.256011962890625,0.049755102040781284
crestereo_combined_iter2_320x480.onnx,combined,2,320,480,24.415733337402344,0.08351020408171818
crestereo_combined_iter2_360x640.onnx,combined,2,360,640,19.635066986083984,0.11773469387763001
crestereo_combined_iter2_480x640.onnx,combined,2,480,640,19.58831214904785,0.14636734693882245
crestereo_combined_iter2_720x1280.onnx,combined,2,720,1280,1.6366231441497803,0.4374693877534253
crestereo_combined_iter5_240x320.onnx,combined,5,240,320,29.168376922607422,0.08997959183672756
crestereo_combined_iter5_320x480.onnx,combined,5,320,480,24.353715896606445,0.15483673469401654
crestereo_combined_iter5_360x640.onnx,combined,5,360,640,19.561552047729492,0.214591836734682
crestereo_combined_iter5_380x480.onnx,combined,5,380,480,24.353715896606445,0.14765306122457592
crestereo_combined_iter5_480x640.onnx,combined,5,480,640,19.521833419799805,0.27195918367371114
crestereo_combined_iter5_720x1280.onnx,combined,5,720,1280,0.6438924074172974,0.7939591836739612
crestereo_init_iter10_120x160.onnx,init,10,120,160,33.97015380859375,0.05863265306114193
crestereo_init_iter10_160x240.onnx,init,10,160,240,31.584861755371094,0.08195918367338742
crestereo_init_iter10_180x320.onnx,init,10,180,320,29.185462951660156,0.11191836734694649
crestereo_init_iter10_240x320.onnx,init,10,240,320,29.175065994262695,0.1367959183673
crestereo_init_iter10_360x640.onnx,init,10,360,640,19.54740333557129,0.34153061224476133
crestereo_init_iter10_480x640.onnx,init,10,480,640,19.532569885253906,0.4542040816325295
crestereo_init_iter10_720x1280.onnx,init,10,720,1280,0.4680667519569397,1.3775510204080148
crestereo_init_iter20_120x160.onnx,init,20,120,160,33.96702194213867,0.11391836734720547
crestereo_init_iter20_160x240.onnx,init,20,160,240,31.574874877929688,0.15948979591826637
crestereo_init_iter20_180x320.onnx,init,20,180,320,29.180757522583008,0.21044897959179754
crestereo_init_iter20_240x320.onnx,init,20,240,320,29.16509246826172,0.25667346938777824
crestereo_init_iter20_360x640.onnx,init,20,360,640,19.53524398803711,0.6367346938774174
crestereo_init_iter20_480x640.onnx,init,20,480,640,19.523714065551758,0.8338979591834668
crestereo_init_iter20_720x1280.onnx,init,20,720,1280,0.42430686950683594,2.5726734693879343
crestereo_init_iter2_120x160.onnx,init,2,120,160,34.18888854980469,0.026163265306181252
crestereo_init_iter2_160x240.onnx,init,2,160,240,31.70751190185547,0.029428571428701505
crestereo_init_iter2_180x320.onnx,init,2,180,320,29.29079246520996,0.03448979591841486
crestereo_init_iter2_240x320.onnx,init,2,240,320,29.225543975830078,0.042714285714375404
crestereo_init_iter2_360x640.onnx,init,2,360,640,19.650177001953125,0.10520408163270355
crestereo_init_iter2_480x640.onnx,init,2,480,640,19.618967056274414,0.13520408163243033
crestereo_init_iter2_720x1280.onnx,init,2,720,1280,2.245454788208008,0.4087755102042064
crestereo_init_iter5_120x160.onnx,init,5,120,160,33.96857833862305,0.04142857142854767
crestereo_init_iter5_160x240.onnx,init,5,160,240,31.58477783203125,0.049163265306189564
crestereo_init_iter5_180x320.onnx,init,5,180,320,29.180099487304688,0.06444897959182545
crestereo_init_iter5_240x320.onnx,init,5,240,320,29.17352867126465,0.07689795918374831
crestereo_init_iter5_360x640.onnx,init,5,360,640,19.481300354003906,0.19167346938790003
crestereo_init_iter5_480x640.onnx,init,5,480,640,19.453908920288086,0.2409795918369016
crestereo_init_iter5_720x1280.onnx,init,5,720,1280,0.9628506302833557,0.7402448979592009
